date,location,cases,cases_minmax,RAINFALL_minmax,TMAX_minmax,TMIN_minmax,RH_minmax,WIND_SPEED_minmax,WIND_DIR_X,WIND_DIR_Y,state
2017-10-15,MANILA CITY,87,0.3625,0.3625170998632011,0.3476658476658475,0.5637931034482757,0.8214867064568635,0.3882618510158013,-0.6195050554104529,-0.784992666412172,High
2017-10-22,MANILA CITY,89,0.3708333333333333,0.0221614227086183,0.4631449631449633,0.6672413793103449,0.6315789473684208,0.3227990970654626,0.6598705375823847,-0.7513793140822648,High
2017-10-29,MANILA CITY,93,0.3875,0.1337893296853625,0.455773955773956,0.5017241379310344,0.5271296798697774,0.2257336343115124,-0.6728834132812869,-0.7397485465554663,High
2017-11-05,MANILA CITY,57,0.2375,0.1808481532147742,0.1228501228501229,0.3379310344827587,0.848616386326641,0.1941309255079006,0.9792228106217656,0.2027872953565124,Medium
2017-11-12,MANILA CITY,59,0.2458333333333333,0.2251709986320109,0.5171990171990171,0.5413793103448277,0.554259359739555,0.3544018058690744,0.3660140110079717,0.9306093400271976,Medium
2017-11-19,MANILA CITY,63,0.2625,0.0240766073871409,0.4680589680589681,0.6396551724137932,0.5230602278893106,0.1625282167042889,-0.0143112113062919,-0.999897589371505,Medium
2017-11-26,MANILA CITY,57,0.2375,0.0971272229822161,0.515970515970516,0.5413793103448277,0.4921323928377643,0.2595936794582392,0.954083620325553,0.2995403903090299,Medium
2017-12-03,MANILA CITY,63,0.2625,0.0941176470588235,0.5491400491400497,0.5706896551724141,0.4612045577862182,0.291196388261851,0.7355061211948004,0.6775180777551102,Medium
2017-12-10,MANILA CITY,53,0.2208333333333333,0.0812585499316005,0.3390663390663389,0.527586206896552,0.6239826370048834,0.2595936794582392,0.992524866311091,0.1220425735313331,Medium
2017-12-17,MANILA CITY,65,0.2708333333333333,0.0183310533515731,0.1609336609336608,0.3103448275862069,0.4457406402604448,0.3544018058690744,0.9968898856070358,0.0788070807376535,Medium
2017-12-24,MANILA CITY,36,0.15,0.0793433652530779,0.2088452088452088,0.3689655172413794,0.6782419967444385,0.3227990970654626,0.911475085558384,0.4113552824582867,Medium
2017-12-31,MANILA CITY,49,0.2041666666666666,0.0191518467852257,0.2862407862407861,0.332758620689655,0.5037981551817687,0.1941309255079006,0.5697099189888188,0.8218458542851899,Medium
2018-01-07,MANILA CITY,69,0.2875,0.0054719562243502,0.2911547911547913,0.4448275862068968,0.3760173629951168,0.2595936794582392,-0.8977971010607902,-0.4404093156676426,Medium
2018-01-14,MANILA CITY,52,0.2166666666666666,0.0054719562243502,0.3280098280098279,0.3500000000000001,0.3526858383071081,0.3544018058690744,0.9337054636307534,-0.3580420466734039,Medium
2018-01-21,MANILA CITY,79,0.3291666666666666,0.0300957592339261,0.253071253071253,0.3413793103448276,0.5037981551817687,0.1625282167042889,0.9228072778591084,-0.385261895248235,High
2018-01-28,MANILA CITY,73,0.3041666666666666,0.0347469220246238,0.205159705159705,0.3913793103448275,0.6006511123168744,0.1941309255079006,-0.0080284283103961,-0.9999677716500992,Medium
2018-02-04,MANILA CITY,67,0.2791666666666667,0.0087551299589603,0.253071253071253,0.3413793103448276,0.4145415084102005,0.291196388261851,0.949425477641904,-0.3139924559674049,Medium
